customer_id,tenure_months,churn,contract_type,monthly_charges,support_tickets,payment_method,paperless_billing,partner,dependents,internet_service
CUST-10000,5,1,Month-to-month,214.5,1,Bank transfer (automatic),Yes,No,No,DSL
CUST-10001,39,1,Two year,201.91,3,Electronic check,No,Yes,No,DSL
CUST-10002,2,1,One year,163.71,2,Credit card (automatic),No,Yes,No,DSL
CUST-10003,18,0,One year,240.21,1,Credit card (automatic),No,No,Yes,Fiber optic
CUST-10004,1,1,Month-to-month,89.09,3,Electronic check,No,No,No,DSL
CUST-10005,9,1,Month-to-month,70.85,0,Bank transfer (automatic),Yes,Yes,Yes,No
CUST-10006,8,1,Month-to-month,219.79,0,Bank transfer (automatic),No,No,No,Fiber optic
CUST-10007,9,1,Two year,136.83,1,Electronic check,Yes,No,No,DSL
CUST-10008,6,1,One year,218.39,4,Credit card (automatic),Yes,No,Yes,No
CUST-10009,11,0,One year,227.62,2,Credit card (automatic),Yes,No,No,DSL
CUST-10010,17,1,Month-to-month,61.49,0,Credit card (automatic),Yes,Yes,No,DSL
CUST-10011,3,1,Two year,225.69,1,Bank transfer (automatic),Yes,No,No,Fiber optic
CUST-10012,60,1,Two year,138.66,1,Electronic check,No,Yes,No,DSL
CUST-10013,2,1,Month-to-month,151.09,2,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10014,1,1,Month-to-month,174.32,3,Electronic check,Yes,Yes,No,DSL
CUST-10015,4,1,Month-to-month,234.28,3,Credit card (automatic),Yes,Yes,No,No
CUST-10016,3,1,Month-to-month,52.82,3,Credit card (automatic),Yes,Yes,No,Fiber optic
CUST-10017,47,0,One year,144.37,1,Electronic check,No,No,Yes,Fiber optic
CUST-10018,1,1,Month-to-month,186.54,1,Electronic check,Yes,No,No,Fiber optic
CUST-10019,10,1,Month-to-month,193.54,1,Bank transfer (automatic),No,No,No,DSL
CUST-10020,24,0,One year,187.51,0,Bank transfer (automatic),No,Yes,No,Fiber optic
CUST-10021,21,1,Month-to-month,75.89,2,Electronic check,Yes,Yes,Yes,DSL
CUST-10022,6,1,Month-to-month,108.88,1,Credit card (automatic),No,No,No,Fiber optic
CUST-10023,5,1,Month-to-month,120.74,3,Electronic check,Yes,Yes,No,DSL
CUST-10024,8,1,Month-to-month,209.89,2,Electronic check,Yes,No,No,Fiber optic
CUST-10025,17,1,Two year,104.75,1,Credit card (automatic),No,Yes,No,No
CUST-10026,4,1,Month-to-month,91.14,1,Electronic check,No,No,No,DSL
CUST-10027,2,1,One year,240.49,2,Bank transfer (automatic),Yes,Yes,No,No
CUST-10028,21,0,One year,50.77,0,Bank transfer (automatic),Yes,No,No,DSL
CUST-10029,4,1,Month-to-month,248.56,3,Bank transfer (automatic),Yes,No,No,Fiber optic
CUST-10030,6,1,One year,184.36,1,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10031,15,1,Month-to-month,214.69,0,Bank transfer (automatic),No,No,Yes,No
CUST-10032,1,1,Month-to-month,107.92,0,Credit card (automatic),Yes,Yes,No,DSL
CUST-10033,49,0,Two year,51.86,1,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10034,4,1,Two year,196.57,0,Bank transfer (automatic),No,Yes,No,DSL
CUST-10035,31,0,Two year,215.83,2,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10036,1,1,Month-to-month,197.1,1,Electronic check,Yes,Yes,No,Fiber optic
CUST-10037,3,1,Month-to-month,77.57,0,Bank transfer (automatic),No,No,Yes,Fiber optic
CUST-10038,40,0,One year,199.69,0,Bank transfer (automatic),No,No,No,No
CUST-10039,5,1,Month-to-month,202.78,1,Bank transfer (automatic),No,Yes,No,Fiber optic
CUST-10040,6,1,Month-to-month,180.71,0,Credit card (automatic),Yes,Yes,Yes,Fiber optic
CUST-10041,14,0,Month-to-month,202.22,2,Credit card (automatic),No,Yes,Yes,Fiber optic
CUST-10042,1,1,Month-to-month,218.18,1,Bank transfer (automatic),Yes,No,Yes,Fiber optic
CUST-10043,47,0,Two year,171.72,2,Electronic check,Yes,Yes,No,DSL
CUST-10044,1,1,Month-to-month,66.72,1,Credit card (automatic),No,No,Yes,Fiber optic
CUST-10045,4,1,One year,146.53,0,Electronic check,Yes,No,No,Fiber optic
CUST-10046,2,1,Month-to-month,64.53,1,Credit card (automatic),No,No,No,No
CUST-10047,60,1,One year,130.51,6,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10048,4,1,One year,130.42,2,Electronic check,Yes,Yes,No,Fiber optic
CUST-10049,15,1,Month-to-month,62.2,1,Electronic check,No,No,No,DSL
CUST-10050,30,0,Two year,118.76,2,Credit card (automatic),Yes,No,No,DSL
CUST-10051,12,1,One year,71.2,3,Electronic check,No,No,No,No
CUST-10052,25,0,Two year,210.65,1,Electronic check,Yes,No,No,Fiber optic
CUST-10053,53,0,Two year,238.54,3,Bank transfer (automatic),No,No,No,No
CUST-10054,13,1,One year,63.46,0,Electronic check,Yes,Yes,No,DSL
CUST-10055,8,1,Two year,240.02,2,Credit card (automatic),Yes,No,Yes,DSL
CUST-10056,8,1,Month-to-month,153.52,0,Bank transfer (automatic),Yes,No,No,Fiber optic
CUST-10057,7,1,Month-to-month,108.91,3,Electronic check,No,No,No,Fiber optic
CUST-10058,12,1,Month-to-month,64.37,2,Credit card (automatic),No,No,No,DSL
CUST-10059,2,1,Month-to-month,149.12,4,Credit card (automatic),No,Yes,No,No
CUST-10060,2,1,Month-to-month,207.9,1,Bank transfer (automatic),Yes,No,No,DSL
CUST-10061,11,0,Month-to-month,190.42,3,Bank transfer (automatic),Yes,No,Yes,Fiber optic
CUST-10062,9,1,Two year,59.05,0,Bank transfer (automatic),Yes,Yes,No,Fiber optic
CUST-10063,9,1,Month-to-month,63.58,2,Bank transfer (automatic),Yes,No,No,DSL
CUST-10064,1,1,Month-to-month,129.57,1,Electronic check,Yes,Yes,No,DSL
CUST-10065,12,0,One year,108.06,1,Electronic check,No,No,No,Fiber optic
CUST-10066,40,1,Month-to-month,95.48,0,Credit card (automatic),No,Yes,No,Fiber optic
CUST-10067,22,1,Two year,105.2,1,Electronic check,Yes,No,No,Fiber optic
CUST-10068,1,1,Month-to-month,209.7,0,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10069,52,0,Two year,234.85,0,Credit card (automatic),No,No,No,DSL
CUST-10070,11,1,One year,130.02,2,Electronic check,Yes,Yes,No,No
CUST-10071,10,1,Month-to-month,230.22,0,Bank transfer (automatic),Yes,Yes,Yes,DSL
CUST-10072,6,1,Month-to-month,113.3,0,Electronic check,Yes,No,No,Fiber optic
CUST-10073,13,1,Two year,144.29,3,Credit card (automatic),Yes,Yes,No,DSL
CUST-10074,17,1,One year,94.21,2,Credit card (automatic),No,No,Yes,No
CUST-10075,22,0,One year,177.1,1,Credit card (automatic),Yes,No,Yes,No
CUST-10076,10,0,One year,244.8,4,Credit card (automatic),Yes,No,No,No
CUST-10077,1,1,Month-to-month,169.7,2,Electronic check,Yes,No,No,Fiber optic
CUST-10078,11,1,Month-to-month,120.56,3,Credit card (automatic),No,Yes,No,DSL
CUST-10079,16,1,Month-to-month,178.56,2,Bank transfer (automatic),Yes,Yes,No,No
CUST-10080,44,0,Two year,73.58,1,Bank transfer (automatic),Yes,No,No,DSL
CUST-10081,9,1,One year,226.73,2,Credit card (automatic),No,Yes,Yes,Fiber optic
CUST-10082,1,1,Month-to-month,149.62,3,Credit card (automatic),No,No,Yes,No
CUST-10083,13,1,Month-to-month,138.87,2,Bank transfer (automatic),No,Yes,Yes,DSL
CUST-10084,11,0,Month-to-month,166.17,1,Bank transfer (automatic),No,No,Yes,Fiber optic
CUST-10085,5,1,Month-to-month,173.96,2,Electronic check,Yes,Yes,Yes,Fiber optic
CUST-10086,4,1,One year,63.36,2,Credit card (automatic),Yes,No,No,DSL
CUST-10087,13,0,One year,185.52,1,Bank transfer (automatic),Yes,Yes,No,Fiber optic
CUST-10088,56,0,Two year,97.39,1,Credit card (automatic),Yes,Yes,No,Fiber optic
CUST-10089,3,1,Month-to-month,191.79,0,Electronic check,No,No,No,DSL
CUST-10090,3,1,Month-to-month,213.51,1,Credit card (automatic),No,Yes,No,DSL
CUST-10091,25,1,One year,209.79,0,Electronic check,No,No,No,DSL
CUST-10092,9,0,One year,159.5,2,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10093,2,1,One year,153.03,2,Credit card (automatic),No,Yes,No,DSL
CUST-10094,25,1,One year,77.58,2,Bank transfer (automatic),No,No,Yes,Fiber optic
CUST-10095,13,1,Month-to-month,204.07,0,Credit card (automatic),Yes,Yes,No,Fiber optic
CUST-10096,24,1,One year,103.28,2,Electronic check,No,No,No,Fiber optic
CUST-10097,5,1,Month-to-month,148.34,2,Electronic check,Yes,No,No,No
CUST-10098,5,1,Month-to-month,105.85,3,Bank transfer (automatic),Yes,No,No,Fiber optic
CUST-10099,1,1,Month-to-month,75.77,3,Electronic check,No,Yes,No,Fiber optic
CUST-10100,2,1,Month-to-month,174.91,3,Credit card (automatic),No,Yes,No,Fiber optic
CUST-10101,28,1,One year,59.87,2,Electronic check,Yes,No,Yes,DSL
CUST-10102,1,1,Month-to-month,198.73,2,Bank transfer (automatic),Yes,Yes,No,No
CUST-10103,43,0,One year,112.52,0,Credit card (automatic),No,Yes,Yes,No
CUST-10104,39,0,Two year,49.03,2,Credit card (automatic),No,No,No,Fiber optic
CUST-10105,4,1,Month-to-month,151.23,2,Credit card (automatic),No,No,Yes,Fiber optic
CUST-10106,6,1,Month-to-month,58.37,2,Bank transfer (automatic),Yes,Yes,No,Fiber optic
